GitHub Repo,Engineered ML Project,Stars,Commits,Lines of Code,Architecture,Community,Continuous Integration,Documentation,History,Issues,License,Unit Testing,Python_Percentage,A1_Elements,A2_Elements,B1_Elements,B2_Elements,C1_Elements,C2_Elements,Assign Multi Targets,Call Star,List Comprehension,Dict Comprehension,Set Comprehension,Truth Value Test,Chain Compare,For Multi Targets,For Else,PY_Assign Multi Targets,PY_Call Star,PY_List Comprehension,PY_Dict Comprehension,PY_Set Comprehension,PY_Truth Value Test,PY_Chain Compare,PY_For Multi Targets,PY_For Else
https://github.com/kk7nc/HDLTex.git,Y,167,255,443,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kk7nc/HDLTex/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented","No commits the past month, active before that",Author does not respond frequently,https://github.com/kk7nc/HDLTex/blob/master/LICENSE,There is no evidence of any testing done on the project.,100.0,0,0,0,0,0,0,17,0,0,0,0,3,0,0,0,0,0,6,0,0,4,0,4,0
https://github.com/kk7nc/RMDL.git,Y,336,474,1434,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kk7nc/RMDL/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Some commits the past month,Author does not respond frequently,https://github.com/kk7nc/RMDL/blob/master/LICENSE,There is no evidence of any testing done on the project.,100.0,0,0,0,0,0,0,54,0,1,0,0,8,0,0,0,0,0,15,1,0,34,0,7,0
https://github.com/knazeri/edge-connect.git,N,1751,112,1489,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors (mainly one): https://github.com/knazeri/edge-connect/graphs/contributors,No indications of using CI services,"There is a README, codes are not documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/knazeri/edge-connect/blob/master/LICENSE.md,There is no evidence of any testing done on the project.,99.42089297801398,0,0,0,0,0,0,69,0,0,0,0,12,5,0,0,1,10,3,0,0,53,0,3,0
https://github.com/koaning/scikit-lego.git,Y,227,309,7817,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/koaning/scikit-lego/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,More closed issues than open. Project authors respond to issues: https://github.com/koaning/scikit-lego/issues/380,https://github.com/koaning/scikit-lego/blob/master/LICENSE,There are many files related to testing.,99.9014266903966,0,0,0,0,0,0,280,0,0,0,0,30,11,2,0,1,17,72,10,0,171,6,39,0
https://github.com/kornia/kornia.git,Y,2527,1321,29795,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/kornia/kornia/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented",Consistent commits in the last month,"More closed than open, author does not respond frequently",https://github.com/kornia/kornia/blob/master/LICENSE,There are many files related to testing.,99.77623058609328,0,0,0,0,0,0,4329,128,11,1,0,245,60,4,1,26,366,167,18,0,1810,62,142,0
https://github.com/koursaros-ai/nboost.git,Y,418,1332,1714,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,Multiple contributors: https://github.com/koursaros-ai/nboost/graphs/contributors,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well maintained README, codes are well documented","No commits the past month, active before that","More closed than open, author does not respond frequently",https://github.com/koursaros-ai/nboost/blob/master/LICENSE,There are many files related to testing.,87.14281403699346,0,0,0,0,0,0,49,0,0,2,0,3,0,0,0,0,2,25,0,0,23,0,12,0
https://github.com/kubeflow/kfserving.git,Y,465,453,24870,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/kubeflow/kfserving/graphs/contributors shows that there are multiple contributors,CI is not used on the project,There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/kubeflow/kfserving/graphs/commit-activity shows there has been activities in the past few months consistently,"The project maintainers respond to issues, as evidenced by https://github.com/kubeflow/kfserving/issues/916 and https://github.com/kubeflow/kfserving/issues/884",https://github.com/kubeflow/kfserving/blob/master/LICENSE,There are many files related to testing,59.022444490871976,0,0,0,0,0,0,640,3,10,2,0,35,15,2,1,3,5,83,7,0,958,1,119,0
https://github.com/kubeflow-kale/kale.git,Y,152,424,7341,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/kubeflow-kale/kale/graphs/contributors shows that there are multiple contributors but mainly 2,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/kubeflow-kale/kale/blob/master/backend/kale/utils/jupyter_utils.py and https://github.com/kubeflow-kale/kale/blob/master/backend/kale/utils/graph_utils.py have appropriate docstrings","Checking https://github.com/kubeflow-kale/kale/graphs/commit-activity, there has been activities in the past few months consistently","The project maintainers respond to issues, as evidenced by https://github.com/kubeflow-kale/kale/issues/147 and https://github.com/kubeflow-kale/kale/issues/142",https://github.com/kubeflow-kale/kale/blob/master/LICENSE,There are many files related to testing,60.6549186789314,0,0,0,0,0,0,242,0,3,2,2,33,4,1,0,0,9,55,14,0,252,0,25,0
https://github.com/kundajelab/deeplift.git,Y,431,522,5460,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,https://github.com/kundajelab/deeplift/graphs/contributors shows that there are multiple contributors but mainly 1,"The project uses various CI services to compute code coverage, check stylistic violations, etc.",There is a well-maintained README but Most of the functions in the source code are not documented.,https://github.com/kundajelab/deeplift/graphs/commit-activity shows there has been only 1 commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/kundajelab/deeplift/issues/106 and https://github.com/kundajelab/deeplift/issues/103",https://github.com/kundajelab/deeplift/blob/master/LICENSE,There are many files related to testing,100.0,0,0,0,0,0,0,139,0,0,2,0,28,5,1,0,0,9,59,0,0,66,0,14,0
https://github.com/kwotsin/mimicry.git,Y,292,106,8324,The source code of this project has been organised into different modules in a way that shows the relationship between different files.,There are no contributors to the project other than the author,"The project uses various CI services to compute code coverage, check stylistic violations, etc.","There is a well-maintained README, and the majority of the functions in https://github.com/kwotsin/mimicry/blob/master/torch_mimicry/modules/layers.py and https://github.com/kwotsin/mimicry/blob/master/torch_mimicry/modules/losses.py have appropriate docstrings",https://github.com/kundajelab/deeplift/graphs/commit-activity shows there has been only 1 commit in the past month,"The project maintainers respond to issues, as evidenced by https://github.com/kwotsin/mimicry/issues/19 and https://github.com/kwotsin/mimicry/issues/14",https://github.com/kwotsin/mimicry/blob/master/LICENSE,There are many files related to testing,100.0,0,0,0,0,0,0,272,0,2,0,0,14,2,2,0,5,26,13,3,0,124,4,35,0
