"GitHub.Repo","Engineered.ML.Project","Python_Percentage","Assign.Multi.Targets","Call.Star","List.Comprehension","Dict.Comprehension","Set.Comprehension","Truth.Value.Test","Chain.Compare","For.Multi.Targets","For.Else","PY_Assign.Multi.Targets","PY_Call.Star","PY_List.Comprehension","PY_Dict.Comprehension","PY_Set.Comprehension","PY_Truth.Value.Test","PY_Chain.Compare","PY_For.Multi.Targets","PY_For.Else","duplicated_lines_density","security_remediation_effort","duplicated_files","violations","critical_violations","info_violations","uncovered_lines","complexity","minor_violations","duplicated_lines","sqale_index","bugs","ncloc","reliability_remediation_effort","reliability_rating","sqale_debt_ratio","comment_lines_density","security_hotspots","cognitive_complexity","duplicated_blocks","blocker_violations","major_violations","security_rating","files","code_smells","security_hotspots_to_review_status","vulnerabilities","file_complexity","HIGH_reliability_issues","MEDIUM_reliability_issues","LOW_reliability_issues","HIGH_maintainability_issues","MEDIUM_maintainability_issues","LOW_maintainability_issues","HIGH_security_issues","MEDIUM_security_issues","LOW_security_issues","tot_pythonic","tot_non_pythonic","pythonic_percentage"
"https://github.com/amzn/xfer.git",1,99.6157594287639,434,9,16,3,0,32,2,10,0,7,16,77,4,0,181,0,58,0,2.3,0,12,369,19,8,7003,1436,284,362,1084,21,8851,167,5,0.4,30.6,11,1130,21,11,47,1,111,348,11,0,12.9,11,14,4,19,48,281,0,0,8,343,506,0.404004711425206
"https://github.com/arogozhnikov/einops.git",1,97.8866889014493,166,2,1,2,0,22,3,0,0,1,25,45,7,5,87,10,58,0,3.5,0,8,111,19,3,3150,934,21,221,691,0,4261,0,1,0.5,17.6,2,983,13,0,68,1,32,111,2,0,29.2,0,22,0,19,68,24,0,0,22,238,196,0.548387096774194
"https://github.com/arviz-devs/arviz.git",1,70.4655138999548,952,4,7,3,1,46,22,3,1,3,67,238,96,0,1233,17,218,1,3.9,0,39,767,132,30,18222,4949,27,1934,7620,15,32802,100,5,0.8,25.7,4,6648,96,2,576,1,256,752,4,0,19.3,12,394,2,136,561,55,0,0,388,1873,1039,0.643200549450549
"https://github.com/asappresearch/sru.git",1,59.903529394424,166,0,0,0,0,18,5,0,0,2,2,93,2,3,131,1,13,0,1.4,0,3,119,25,0,2611,578,54,66,749,0,3545,0,1,0.7,13.7,12,642,4,0,40,1,30,119,12,0,19.3,0,5,0,26,39,54,0,0,4,247,189,0.56651376146789
"https://github.com/as-ideas/TransformerTTS.git",1,100,136,2,0,1,0,5,2,2,0,0,4,26,3,0,71,0,24,0,1,0,1,87,2,4,2283,496,25,38,363,5,2994,25,3,0.4,7.2,0,423,2,0,56,1,32,82,0,0,15.5,19,5,2,7,48,27,0,0,2,128,148,0.463768115942029
"https://github.com/astooke/rlpyt.git",1,100,799,0,0,2,0,83,9,2,2,50,800,468,20,0,577,5,70,0,22.6,0,190,1202,80,11,19415,3342,444,9063,5550,29,28753,258,5,0.6,17.8,0,3118,540,30,637,1,465,1173,0,0,7.2,41,32,1,113,609,451,0,0,23,1990,897,0.689296847939037
"https://github.com/autorope/donkeycar.git",1,87.0597068087692,926,11,16,2,2,132,40,2,0,9,53,77,2,0,800,5,58,0,6.5,0,20,753,273,14,19023,4410,245,2292,4064,76,21878,422,5,0.6,25.8,24,4352,64,11,210,1,166,677,24,0,26.6,10,79,0,275,146,256,0,0,12,1004,1131,0.470257611241218
"https://github.com/avrae/avrae.git",1,99.9710994063114,549,0,9,3,1,38,25,1,0,15,68,290,25,9,1646,55,91,4,0.3,0,6,479,170,16,25364,7614,120,134,3817,12,36248,51,5,0.4,17.2,36,6949,8,8,165,1,232,467,36,0,32.8,22,3,1,170,163,134,0,0,0,2203,626,0.778720395899611
"https://github.com/baldassarreFe/deep-koalarization.git",1,99.3892539621183,48,0,0,0,0,0,0,0,0,0,2,1,0,0,15,0,0,0,0,0,0,20,1,1,1017,139,6,0,125,0,2610,0,1,0.2,17.9,8,82,0,0,12,1,35,20,8,0,4,2,4,0,1,12,7,0,0,4,18,48,0.272727272727273
"https://github.com/batra-mlp-lab/visdial-challenge-starter-pytorch.git",0,99.2203357451584,52,0,0,0,0,1,0,0,0,0,2,26,9,0,25,0,9,0,2.4,0,2,9,2,0,776,155,4,51,85,0,1350,0,1,0.2,25.4,0,184,2,0,3,1,18,9,0,0,8.6,0,0,0,2,3,4,0,0,0,71,53,0.57258064516129
"https://github.com/bayesiains/nflows.git",1,100,387,6,0,0,0,9,3,0,0,0,158,16,0,0,118,0,11,0,10.9,0,13,51,6,3,4439,911,16,952,290,8,6392,40,4,0.2,11.2,0,527,38,0,26,1,76,43,0,0,12,2,6,0,4,20,19,0,0,0,303,405,0.427966101694915
"https://github.com/Belval/TextRecognitionDataGenerator.git",1,99.2686093861795,54,0,0,0,0,15,2,0,0,0,3,48,0,0,26,0,5,0,5.1,0,4,99,41,0,1103,269,36,200,1025,7,3316,65,4,1,4.5,30,245,8,0,22,1,16,92,30,0,16.8,9,4,0,38,18,36,0,0,3,82,71,0.535947712418301
"https://github.com/beringresearch/ivis.git",1,92.9285452718022,106,2,0,0,0,1,0,0,0,0,3,17,4,0,47,5,9,0,0,0,0,83,6,0,1596,355,61,0,377,3,1937,30,5,0.6,27.6,3,244,0,1,15,1,37,80,3,0,9.6,2,10,1,5,15,60,0,0,9,85,109,0.438144329896907
"https://github.com/bethgelab/foolbox.git",1,93.1194219181806,471,4,0,0,0,47,9,1,0,2,34,27,0,0,191,12,14,0,6.9,0,18,163,15,24,4818,845,46,916,578,6,7187,34,4,0.3,18,2,636,40,0,78,1,87,157,2,0,9.8,1,14,0,14,73,70,0,0,9,280,532,0.344827586206897
"https://github.com/beyretb/AnimalAI-Olympics.git",0,100,21,0,0,2,0,4,0,0,0,0,0,11,0,0,26,0,4,0,0,0,0,20,2,6,752,141,0,0,79,0,1811,0,1,0.1,8,2,131,0,0,12,1,32,20,2,0,4.4,0,1,0,2,12,6,0,0,1,41,27,0.602941176470588
"https://github.com/bhoov/exbert.git",1,91.2734542418234,2168,9,19,17,0,178,159,1,1,12,272,440,79,2,1825,16,343,1,15.3,0,108,828,246,39,37404,9250,146,14752,8151,33,61669,229,4,0.4,25.4,6,10090,804,2,395,1,302,795,6,0,30.6,23,30,3,247,367,179,0,0,5,2990,2552,0.539516420064958
"https://github.com/BindsNET/bindsnet.git",1,99.5844655696225,356,17,0,0,0,49,15,3,0,0,130,33,37,0,402,4,47,1,20.8,0,22,623,54,0,7835,1599,100,4246,3579,7,12722,37,5,0.9,28.4,26,2102,259,2,467,1,80,616,26,0,20,1,15,0,55,465,96,0,0,9,654,440,0.597806215722121
"https://github.com/biolib/openprotein.git",0,98.1607222802567,143,0,15,1,0,17,1,0,0,0,6,29,1,0,71,3,26,0,0,0,0,27,9,1,1813,365,3,0,289,1,2319,2,3,0.4,12.9,5,522,0,0,14,1,21,26,5,0,17.4,0,4,0,9,13,4,0,0,3,136,177,0.434504792332268
"https://github.com/bitextor/bitextor.git",1,75.0215516027068,129,0,6,1,0,23,6,0,0,0,1,34,3,0,313,3,34,0,3,0,6,197,37,10,3718,1097,100,204,1743,0,4631,0,1,1.3,15.3,19,1914,16,0,50,1,49,197,19,0,23.3,0,0,0,37,50,110,0,0,0,388,165,0.701627486437613
"https://github.com/black0017/MedicalZooPytorch.git",0,90.3513731373361,370,6,2,0,0,25,8,0,0,0,13,7,0,0,90,4,17,0,7.1,0,20,336,33,31,5234,772,168,637,1377,13,6205,68,5,0.7,13.1,2,612,57,2,102,1,85,323,2,0,9.1,12,28,0,27,97,199,0,0,25,131,411,0.24169741697417
"https://github.com/BloodAxe/pytorch-toolbelt.git",1,99.9512423786821,508,12,15,0,0,51,8,0,0,3,38,80,2,0,263,3,58,0,4.4,0,17,183,25,3,8177,1910,76,813,977,9,12204,62,3,0.3,19.1,11,1377,48,0,79,1,126,174,11,0,15.2,1,23,0,26,71,77,0,0,14,447,594,0.429394812680115
"https://github.com/brainiak/brainiak.git",1,89.0400830895972,936,21,18,0,0,96,35,4,0,1,10,137,1,0,255,24,78,0,2.5,0,15,1690,66,1,12178,2300,1147,903,5643,35,17798,217,4,1.1,44.8,4,2665,55,0,476,1,100,1655,4,0,23,63,271,3,71,442,1142,0,0,256,506,1110,0.313118811881188
"https://github.com/BrikerMan/Kashgari.git",1,99.3584501601616,153,0,8,0,0,3,7,3,0,0,9,37,1,0,80,13,22,0,2.7,0,7,112,9,0,2918,658,28,192,563,2,4150,25,5,0.5,27.4,16,555,8,1,74,1,101,110,16,0,6.5,5,7,0,11,71,28,0,0,6,162,174,0.482142857142857
"https://github.com/broadinstitute/keras-rcnn.git",1,100,302,0,0,0,0,6,1,0,0,0,1,0,0,0,30,0,7,0,12.5,0,6,147,17,20,2489,345,30,916,600,2,4702,10,2,0.4,16.2,5,168,18,0,80,1,63,145,5,0,5.5,1,58,2,18,79,48,0,0,58,38,309,0.109510086455331
"https://github.com/bureaucratic-labs/dostoevsky.git",1,100,3,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,2,0,0,10,0,3,2,0,146,43,1,0,2,0,296,0,1,0,6.6,1,28,0,0,0,4,14,1,1,2,3.1,0,0,0,0,0,1,2,0,0,8,4,0.666666666666667
"https://github.com/Cadene/bootstrap.pytorch.git",1,100,74,0,2,6,0,11,0,0,0,0,16,12,7,0,125,0,40,0,1,0,1,57,21,11,2183,572,10,46,336,2,2731,7,3,0.4,21.2,0,675,2,0,15,1,62,55,0,0,10.6,0,2,1,21,21,13,0,0,1,200,93,0.68259385665529
"https://github.com/Calamari-OCR/calamari.git",1,94.2863319548255,296,2,5,1,0,63,14,0,1,1,31,136,8,1,298,1,97,0,3.3,15,14,383,49,5,7398,1928,190,486,3021,6,10956,19,5,0.9,8.3,17,2109,24,4,135,5,171,376,17,1,11.3,2,27,0,51,132,193,1,0,23,573,382,0.6
"https://github.com/calico/basenji.git",1,53.7814279715837,2293,3,43,21,6,131,16,7,1,0,16,468,2,0,1232,11,176,0,26.3,0,123,1037,358,7,31593,6167,361,17216,9352,7,40899,55,5,0.8,20.5,42,10140,755,3,308,1,195,1030,42,0,31.6,48,43,0,369,320,324,0,0,37,1905,2521,0.430411206507004
"https://github.com/catalyst-team/catalyst.git",1,98.7666615451443,1100,5,7,6,0,81,26,1,0,27,84,86,95,1,599,20,151,0,12,0,54,514,37,8,16578,4002,63,6938,2443,50,30732,252,5,0.3,35.9,28,2856,231,16,390,1,331,464,28,0,12.1,19,68,0,42,351,71,0,0,32,1063,1226,0.464394932284841
"https://github.com/cgre-aachen/gempy.git",1,97.1410824396645,63,12,3,0,0,6,5,0,0,2,9,3,0,0,33,0,9,0,3.4,0,8,185,25,37,3402,665,37,379,565,28,6124,255,5,0.3,25.7,0,448,16,1,85,1,116,157,0,0,5.7,6,38,0,32,51,74,0,0,9,56,89,0.386206896551724
"https://github.com/chuyangliu/snake.git",1,100,95,3,1,0,0,16,10,4,1,2,0,12,0,0,84,0,15,0,0,0,0,20,8,0,1817,506,0,0,125,2,2805,25,5,0.1,5.8,5,487,0,1,11,1,34,18,5,0,14.9,2,5,0,8,10,0,0,0,4,113,130,0.465020576131687
"https://github.com/Ciphey/Ciphey.git",1,100,90,0,9,1,0,41,6,0,0,6,10,22,8,1,82,2,16,0,0.7,0,2,178,23,36,3315,944,67,50,786,9,4797,90,5,0.5,18.7,10,719,2,6,46,1,89,169,10,0,10.6,7,2,0,22,44,103,0,0,0,147,147,0.5
"https://github.com/cisco/mindmeld.git",1,92.3414947196652,1038,5,32,10,3,43,16,6,1,2,56,434,46,9,1199,7,218,0,3.6,0,22,342,157,54,22444,6099,69,2145,2407,9,37602,65,5,0.2,27.5,24,5959,84,5,57,1,181,333,24,0,33.7,7,11,0,157,54,122,0,0,7,1971,1154,0.63072
"https://github.com/ClementPinard/SfmLearner-Pytorch.git",1,100,184,23,0,0,0,18,3,0,0,0,11,47,0,0,67,0,39,0,6,0,4,76,11,0,2272,431,44,210,360,3,2658,9,4,0.5,8.9,4,494,12,0,21,1,25,73,4,0,17.2,3,6,0,12,17,44,0,0,4,164,228,0.418367346938776
"https://github.com/CLUEbenchmark/CLUE.git",1,88.0066170388751,2944,4,62,75,2,246,315,9,12,3,98,441,28,0,2366,7,508,5,54.2,0,146,1033,459,21,40536,10734,82,51185,11051,13,64369,73,5,0.6,20.7,25,14505,1285,3,468,1,196,1020,25,0,54.8,107,22,0,461,457,102,0,0,10,3456,3669,0.485052631578947
"https://github.com/cmu-db/ottertune.git",1,68.6113344737009,749,3,5,5,1,45,7,4,1,0,12,108,26,1,412,1,144,0,0.2,30,2,460,84,0,10749,2274,166,46,3877,5,14269,60,5,0.9,13.6,31,2906,4,6,204,5,122,454,31,1,18.6,5,37,0,87,201,166,1,0,34,704,820,0.461942257217848
"https://github.com/commaai/openpilot.git",1,60.271224325825,1976,17,10,9,1,267,46,5,2,8,67,320,115,58,1948,39,246,7,0.4,65,15,1975,261,233,36888,9568,767,301,15541,33,54157,229,5,1,11.3,109,11631,18,29,685,4,547,1939,109,3,17.5,24,34,0,281,658,1000,1,2,9,2808,2333,0.546197237891461
"https://github.com/ConvLab/ConvLab.git",1,81.4521222916248,1884,20,56,11,1,219,59,44,8,11,54,554,32,0,1544,3,502,17,20.1,0,103,1811,462,56,32388,8594,568,10588,15580,56,37846,533,5,1.4,16.5,172,15109,417,14,711,1,295,1755,172,0,29.1,25,52,4,458,677,620,0,0,18,2717,2302,0.541342896991433
"https://github.com/CorentinJ/Real-Time-Voice-Cloning.git",1,100,191,3,0,0,0,38,15,1,0,1,7,81,7,1,151,3,19,0,0.8,0,1,136,28,7,3625,768,63,52,739,3,4334,12,5,0.6,19.1,4,759,2,1,37,1,59,133,4,0,13,3,8,1,30,34,69,0,0,7,270,248,0.521235521235521
"https://github.com/cornellius-gp/gpytorch.git",1,100,1349,1,3,0,0,24,21,2,0,0,511,78,3,3,804,2,70,0,6.1,0,59,495,58,35,18804,4175,302,2261,1689,26,23258,151,5,0.2,23.7,1,3047,161,5,95,1,312,469,1,0,13.4,6,19,3,57,80,332,0,0,2,1471,1400,0.512365029606409
"https://github.com/cornell-zhang/heterocl.git",1,91.8117286152529,1631,12,18,1,0,50,14,2,0,12,151,93,4,0,654,0,40,0,7.8,0,35,2223,77,20,16282,3469,1640,2283,7649,13,20391,84,5,1.3,13.9,6,3155,150,3,483,1,192,2210,6,0,18.1,8,314,3,76,477,1657,0,0,310,954,1728,0.355704697986577
"https://github.com/cpnota/autonomous-learning-library.git",1,99.8344005981352,316,1,0,4,0,14,3,1,0,0,13,32,15,0,127,3,22,1,13,0,27,111,30,0,6172,1358,47,1966,701,0,10665,0,1,0.2,17.2,0,528,57,0,34,1,177,111,0,0,7.7,0,13,0,30,34,47,0,0,13,213,339,0.385869565217391
"https://github.com/creme-ml/creme.git",1,97.4768587431372,995,1,6,9,2,104,41,1,2,6,62,281,188,10,944,56,384,2,1.5,0,23,402,84,25,20619,6265,165,1015,2218,31,30546,192,5,0.2,48.2,91,5735,53,8,120,1,470,371,91,0,13.3,9,70,0,84,97,190,0,0,47,1933,1161,0.624757595345831
"https://github.com/CyberZHG/keras-bert.git",1,99.6714826857966,60,2,0,0,0,3,0,1,0,2,5,14,8,0,41,12,5,0,2.4,0,1,28,6,0,1302,274,3,64,273,0,2030,0,1,0.4,11.5,0,290,4,0,19,1,44,28,0,0,6.2,0,17,0,6,19,3,0,0,17,87,66,0.568627450980392
"https://github.com/DagnyT/hardnet.git",0,94.3516587771398,165,0,3,1,0,13,1,0,0,0,7,13,0,0,189,0,26,0,64.4,0,14,267,43,0,3317,728,66,3456,1388,5,4229,43,3,1.1,9.1,24,1004,183,0,158,1,22,262,24,0,33.1,0,108,0,43,153,66,0,0,103,235,183,0.562200956937799
"https://github.com/danielegrattarola/spektral.git",1,100,391,0,2,2,0,5,7,0,0,10,37,103,6,1,262,3,25,0,4.6,10,24,297,17,6,7191,1529,122,806,1281,1,10409,5,3,0.4,31.3,4,1261,35,0,152,4,154,294,4,2,9.9,33,75,0,15,144,128,2,0,74,447,407,0.523419203747073
"https://github.com/databricks/spark-deep-learning.git",1,100,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,1,1,0,165,38,0,0,6,0,285,0,1,0.1,67.3,0,9,0,0,0,1,14,1,0,0,2.7,0,0,0,1,0,0,0,0,0,4,1,0.8
"https://github.com/datamllab/rlcard.git",1,100,575,3,16,2,1,60,22,12,0,1,4,284,28,2,520,6,56,0,2.6,0,17,366,70,6,11282,2831,96,528,2445,3,12891,35,4,0.6,27.1,4,3135,23,0,194,1,204,363,4,0,13.9,1,76,0,69,193,101,0,0,74,901,691,0.565954773869347
"https://github.com/ddbourgin/numpy-ml.git",1,100,1055,3,7,2,0,26,17,1,0,13,28,149,54,0,385,6,148,0,5.3,0,10,2010,48,9,11976,2642,1364,1759,7058,12,16278,100,5,1.4,43.5,5,2164,88,6,583,1,98,1998,5,0,27,19,482,3,54,576,1368,0,0,479,783,1111,0.413410770855333
"https://github.com/deepchem/deepchem.git",1,98.7468543110127,4471,25,82,21,0,257,64,14,2,9,158,854,48,1,1580,23,506,0,8.9,0,194,3409,444,107,60994,10979,1414,15027,16818,97,90078,596,5,0.6,40.1,41,10535,753,13,1431,1,790,3312,41,0,13.9,83,812,3,466,1328,1517,0,0,731,3179,4936,0.391743684534812
"https://github.com/deepfakes/faceswap.git",1,98.6264727493633,1417,9,1,2,0,110,46,6,0,7,113,477,95,3,1732,32,269,0,0.5,0,13,349,118,54,31908,8504,32,443,1657,34,45727,189,3,0.1,42,9,6809,20,1,144,1,273,315,9,0,31.2,9,73,1,128,102,85,0,0,40,2728,1591,0.631627691595277
"https://github.com/deepmedic/deepmedic.git",1,100,294,2,4,1,0,49,5,0,0,0,13,93,0,0,146,0,8,0,0.7,0,3,828,49,18,4461,1189,621,62,3155,8,5987,60,5,1.8,22.7,5,1285,4,2,138,1,44,820,5,0,27,14,17,0,49,132,639,0,0,11,260,355,0.422764227642276
"https://github.com/deepmind/dm-haiku.git",1,96.6735449778043,832,3,14,3,2,24,11,0,0,24,170,67,30,7,455,3,98,1,2.7,0,14,237,45,58,14670,3504,76,925,1005,7,20869,35,4,0.2,28.2,2,2113,49,0,58,1,154,230,2,0,22.8,1,27,3,44,55,131,0,0,24,855,889,0.490252293577982
"https://github.com/deepmind/sonnet.git",1,95.9254472813187,597,3,3,0,1,13,3,0,0,6,64,64,8,4,288,4,60,0,1.9,0,14,160,25,71,9350,2222,2,442,489,2,13214,10,3,0.1,30.1,0,1245,28,0,62,1,140,158,0,0,15.9,28,24,0,25,51,73,0,0,22,498,620,0.445438282647585
"https://github.com/deepmipt/DeepPavlov.git",1,99.5318338495886,667,2,20,6,1,70,22,7,2,3,103,671,70,24,1064,13,285,1,0.7,0,6,401,165,20,13732,4131,80,186,4642,14,16948,116,5,0.9,28.2,57,6568,8,5,131,1,211,387,57,0,19.6,16,16,0,175,115,97,0,0,7,2234,797,0.73705047838997
"https://github.com/deepset-ai/FARM.git",1,69.9245406116738,776,0,20,6,1,102,17,3,1,0,11,208,19,0,526,9,141,2,5.9,0,24,451,82,102,11303,2428,120,1557,2547,21,16762,144,5,0.5,25.8,39,3055,59,11,136,1,105,430,39,0,23.1,16,12,0,87,142,201,0,0,2,916,926,0.49728555917481
"https://github.com/deezer/spleeter.git",1,87.9647263948498,47,1,0,2,0,3,1,0,0,0,0,7,16,0,38,0,9,0,0,0,0,23,3,0,1244,282,8,0,113,1,2277,10,5,0.2,38.4,1,174,0,1,11,1,29,22,1,0,9.7,8,2,0,3,11,8,0,0,2,70,54,0.564516129032258
"https://github.com/DigitalSlideArchive/HistomicsTK.git",1,96.8584834921511,542,1,7,1,0,24,12,2,0,2,7,110,16,8,271,2,75,0,0.7,0,3,754,43,3,7452,1579,613,161,2605,9,11291,70,4,0.8,42.5,6,1752,9,0,95,1,160,745,6,0,9.9,14,22,0,56,73,616,0,0,10,491,589,0.45462962962963
"https://github.com/DLR-RM/stable-baselines3.git",1,99.5436916109373,427,6,5,1,0,42,19,0,2,6,31,137,41,0,524,6,65,1,1.3,0,8,142,42,4,9555,2386,15,307,886,9,13882,42,3,0.2,30.5,0,2134,12,0,81,1,96,133,0,0,24.9,3,44,0,45,69,19,0,0,35,811,502,0.617669459253618
"https://github.com/dmlc/dgl.git",1,63.1811912937818,8978,45,120,86,1,888,159,21,3,74,281,1088,411,9,3440,30,1359,1,12.3,30,369,3934,605,146,117918,23423,1820,36952,21235,82,189129,517,5,0.4,28.5,148,24520,1639,18,1345,4,1209,3846,148,6,19.4,118,549,11,686,1208,1952,6,0,492,6693,10301,0.393844886430505
"https://github.com/DongjunLee/kino-bot.git",1,99.8488706769181,299,0,14,4,0,30,10,4,1,0,3,42,8,0,203,6,43,0,0.8,30,3,229,52,5,5445,1446,113,82,1097,4,7615,20,3,0.5,8,18,1393,4,2,57,5,80,224,18,1,18.1,1,4,1,53,63,108,1,0,1,305,362,0.457271364317841
"https://github.com/drscotthawley/panotti.git",0,86.7038594051269,102,5,3,0,0,13,1,1,0,0,0,5,0,0,98,0,8,0,0,0,0,195,36,9,1947,407,77,0,940,2,2211,10,3,1.4,21.9,11,610,0,0,73,1,26,193,11,0,15.7,0,21,0,36,71,86,0,0,19,111,125,0.470338983050847
"https://github.com/DSE-MSU/DeepRobust.git",1,100,817,8,6,0,0,118,23,7,1,6,16,54,1,1,494,0,76,1,8.9,0,60,757,107,22,12939,2426,293,4217,4047,14,37135,62,5,0.4,14.3,74,2572,202,3,332,1,155,743,74,0,15.7,10,68,2,114,316,313,0,0,59,649,980,0.398403928790669
"https://github.com/dwadden/dygiepp.git",0,82.993017875212,405,4,14,2,1,21,12,7,1,0,7,168,20,0,164,11,79,0,6.4,0,4,135,29,47,5316,1434,31,691,923,1,7395,5,5,0.4,19.1,3,1652,29,3,25,1,60,134,3,0,23.9,1,1,0,31,25,78,0,0,0,449,467,0.490174672489083
"https://github.com/EdinburghNLP/nematus.git",1,83.991074545646,312,0,7,2,0,122,16,1,1,1,11,71,2,0,198,4,63,0,1.5,0,3,153,42,14,4979,1239,42,163,1024,10,7197,48,3,0.5,22.9,4,1542,6,0,55,1,68,143,4,0,18.8,6,14,0,42,46,55,0,0,4,350,461,0.431565967940814
"https://github.com/eladhoffer/convNet.pytorch.git",0,100,195,0,0,0,0,13,4,0,0,2,42,28,10,0,157,0,21,0,7.5,0,12,82,8,1,3211,857,45,449,466,2,4792,15,3,0.3,5.6,16,856,26,0,28,1,35,80,16,0,24.5,0,4,0,8,26,46,0,0,2,260,212,0.550847457627119
"https://github.com/eleurent/rl-agents.git",1,100,296,10,0,0,0,25,7,0,0,6,18,99,9,0,268,5,33,7,1.5,0,5,222,47,6,5542,1431,111,146,1140,8,6668,50,5,0.6,20,4,1175,8,4,54,1,89,214,4,0,16.1,9,17,0,52,45,117,0,0,13,445,338,0.568326947637292
"https://github.com/elifesciences/sciencebeam.git",1,97.5515059279376,381,0,7,0,0,50,1,0,0,0,107,158,20,12,470,0,43,0,2.3,15,14,256,217,0,12571,2964,12,709,2449,5,26685,35,5,0.3,0.9,21,1492,42,2,25,5,241,250,21,1,12.3,1,4,0,217,21,12,1,0,0,810,439,0.648518815052042
