duplicated_lines_density,functions,security_remediation_effort,sqale_rating,duplicated_files,line_coverage,violations,critical_violations,info_violations,uncovered_lines,complexity,minor_violations,duplicated_lines,security_hotspots_reviewed,sqale_index,bugs,ncloc,reliability_remediation_effort,false_positive_issues,reopened_issues,reliability_rating,sqale_debt_ratio,comment_lines_density,security_hotspots,security_review_rating,cognitive_complexity,duplicated_blocks,open_issues,blocker_violations,major_violations,development_cost,security_rating,effort_to_reach_maintainability_rating_a,comment_lines,confirmed_issues,files,wont_fix_issues,classes,statements,lines_to_cover,security_hotspots_reviewed_status,lines,coverage,code_smells,security_hotspots_to_review_status,vulnerabilities,file_complexity,HIGH_reliability_issues,MEDIUM_reliability_issues,LOW_reliability_issues,HIGH_maintainability_issues,MEDIUM_maintainability_issues,LOW_maintainability_issues,HIGH_security_issues,MEDIUM_security_issues,LOW_security_issues,GitHub Repo
0.0,120,0,1.0,0,0.0,27,9,1,1813,365,3,0,0.0,289,1,2319,2,0,0,3.0,0.4,12.9,5,5.0,522,0,27,0,14,69570,1.0,0,342,0,21,0,11,1840,1813,0,3176,0.0,26,5,0,17.4,0,4,0,9,13,4,0,0,3,https://github.com/biolib/openprotein.git
3.0,129,0,1.0,6,0.0,197,37,10,3718,1097,100,204,0.0,1743,0,4631,0,0,0,1.0,1.3,15.3,19,5.0,1914,16,197,0,50,138930,1.0,0,834,0,49,0,4,3722,3718,0,6890,0.0,197,19,0,23.3,0,0,0,37,50,110,0,0,0,https://github.com/bitextor/bitextor.git
7.1,421,0,1.0,20,0.0,336,33,31,5234,772,168,637,0.0,1377,13,6205,68,0,0,5.0,0.7,13.1,2,5.0,612,57,336,2,102,186150,1.0,0,933,0,85,0,94,5329,5234,0,8932,0.0,323,2,0,9.1,12,28,0,27,97,199,0,0,25,https://github.com/black0017/MedicalZooPytorch.git
4.4,988,0,1.0,17,0.0,183,25,3,8177,1910,76,813,0.0,977,9,12204,62,0,0,3.0,0.3,19.1,11,5.0,1377,48,183,0,79,366120,1.0,0,2876,0,126,0,282,8461,8177,0,18383,0.0,174,11,0,15.2,1,23,0,26,71,77,0,0,14,https://github.com/BloodAxe/pytorch-toolbelt.git
2.5,724,0,1.0,15,0.0,1690,66,1,12178,2300,1147,903,0.0,5643,35,17798,217,0,0,4.0,1.1,44.8,4,5.0,2665,55,1690,0,476,533940,1.0,0,14446,0,100,0,41,12645,12178,0,36699,0.0,1655,4,0,23.0,63,271,3,71,442,1142,0,0,256,https://github.com/brainiak/brainiak.git
2.7,255,0,1.0,7,0.0,112,9,0,2918,658,28,192,0.0,563,2,4150,25,0,0,5.0,0.5,27.4,16,5.0,555,8,112,1,74,124500,1.0,0,1564,0,101,0,74,2991,2918,0,7198,0.0,110,16,0,6.5,5,7,0,11,71,28,0,0,6,https://github.com/BrikerMan/Kashgari.git
12.5,233,0,1.0,6,0.0,147,17,20,2489,345,30,916,0.0,600,2,4702,10,0,0,2.0,0.4,16.2,5,5.0,168,18,147,0,80,141060,1.0,0,909,0,63,0,29,2540,2489,0,7306,0.0,145,5,0,5.5,1,58,2,18,79,48,0,0,58,https://github.com/broadinstitute/keras-rcnn.git
0.0,29,10,1.0,0,0.0,3,2,0,146,43,1,0,0.0,2,0,296,0,0,0,1.0,0.0,6.6,1,5.0,28,0,3,0,0,8880,4.0,0,21,0,14,0,8,151,146,0,404,0.0,1,1,2,3.1,0,0,0,0,0,1,2,0,0,https://github.com/bureaucratic-labs/dostoevsky.git
1.0,235,0,1.0,1,0.0,57,21,11,2183,572,10,46,100.0,336,2,2731,7,0,0,3.0,0.4,21.2,0,1.0,675,2,57,0,15,81930,1.0,0,735,0,62,0,36,2234,2183,0,4464,0.0,55,0,0,10.6,0,2,1,21,21,13,0,0,1,https://github.com/Cadene/bootstrap.pytorch.git
3.3,794,15,1.0,14,0.0,383,49,5,7398,1928,190,486,0.0,3021,6,10956,19,0,0,5.0,0.9,8.3,17,5.0,2109,24,383,4,135,328680,5.0,0,992,0,171,0,203,7501,7398,0,14783,0.0,376,17,1,11.3,2,27,0,51,132,193,1,0,23,https://github.com/Calamari-OCR/calamari.git
